gyrate (nm),Systems
2.2718,Wild
2.26844,Wild
2.27264,Wild
2.27247,Wild
2.27913,Wild
2.26946,Wild
2.27462,Wild
2.27545,Wild
2.27361,Wild
2.28413,Wild
2.28475,Wild
2.28882,Wild
2.28719,Wild
2.27932,Wild
2.27621,Wild
2.28955,Wild
2.28278,Wild
2.28675,Wild
2.29085,Wild
2.28925,Wild
2.29076,Wild
2.29451,Wild
2.28926,Wild
2.3043,Wild
2.27825,Wild
2.29332,Wild
2.28653,Wild
2.2804,Wild
2.28787,Wild
2.29378,Wild
2.28842,Wild
2.298,Wild
2.29083,Wild
2.30474,Wild
2.30813,Wild
2.30306,Wild
2.31042,Wild
2.29102,Wild
2.28633,Wild
2.30694,Wild
2.30894,Wild
2.32054,Wild
2.2987,Wild
2.30493,Wild
2.29856,Wild
2.30643,Wild
2.29916,Wild
2.30035,Wild
2.30196,Wild
2.30925,Wild
2.3147,Wild
2.30215,Wild
2.31001,Wild
2.31461,Wild
2.30936,Wild
2.32702,Wild
2.32365,Wild
2.30693,Wild
2.3153,Wild
2.30745,Wild
2.3222,Wild
2.31563,Wild
2.31189,Wild
2.31751,Wild
2.33354,Wild
2.3378,Wild
2.32077,Wild
2.32578,Wild
2.31933,Wild
2.31188,Wild
2.32212,Wild
2.32036,Wild
2.33148,Wild
2.31754,Wild
2.32797,Wild
2.31608,Wild
2.321,Wild
2.31688,Wild
2.31692,Wild
2.29715,Wild
2.3014,Wild
2.28928,Wild
2.31169,Wild
2.31187,Wild
2.31665,Wild
2.33286,Wild
2.32721,Wild
2.32333,Wild
2.33144,Wild
2.33358,Wild
2.33721,Wild
2.32166,Wild
2.32062,Wild
2.30039,Wild
2.31086,Wild
2.31667,Wild
2.31027,Wild
2.31619,Wild
2.31414,Wild
2.32317,Wild
2.31931,Wild
2.32252,Wild
2.31198,Wild
2.32158,Wild
2.33205,Wild
2.33377,Wild
2.32067,Wild
2.32809,Wild
2.32988,Wild
2.30575,Wild
2.316,Wild
2.3247,Wild
2.30877,Wild
2.3003,Wild
2.29404,Wild
2.30141,Wild
2.29316,Wild
2.28784,Wild
2.29342,Wild
2.31006,Wild
2.31886,Wild
2.30695,Wild
2.31767,Wild
2.32897,Wild
2.33154,Wild
2.32288,Wild
2.31339,Wild
2.31897,Wild
2.32059,Wild
2.31371,Wild
2.3243,Wild
2.31175,Wild
2.29639,Wild
2.29175,Wild
2.30224,Wild
2.31804,Wild
2.29664,Wild
2.30251,Wild
2.30593,Wild
2.29957,Wild
2.31008,Wild
2.31181,Wild
2.30685,Wild
2.30961,Wild
2.30973,Wild
2.29687,Wild
2.30415,Wild
2.30247,Wild
2.29495,Wild
2.28734,Wild
2.29869,Wild
2.30198,Wild
2.293,Wild
2.29994,Wild
2.29917,Wild
2.28947,Wild
2.29632,Wild
2.28473,Wild
2.28071,Wild
2.27798,Wild
2.2905,Wild
2.30079,Wild
2.28889,Wild
2.28552,Wild
2.29133,Wild
2.30606,Wild
2.29838,Wild
2.29576,Wild
2.28485,Wild
2.28296,Wild
2.27994,Wild
2.27552,Wild
2.2746,Wild
2.26705,Wild
2.27031,Wild
2.26957,Wild
2.26575,Wild
2.26946,Wild
2.28746,Wild
2.29945,Wild
2.30055,Wild
2.31341,Wild
2.3222,Wild
