"","V1"
"1",0.0004952
"2",0.0786004
"3",0.1080147
"4",0.0871155
"5",0.0807132
"6",0.102034
"7",0.1274415
"8",0.1297419
"9",0.1317549
"10",0.1436157
"11",0.119669
"12",0.1031627
"13",0.1153301
"14",0.1153059
"15",0.1137961
"16",0.1405747
"17",0.1602028
"18",0.1551795
"19",0.1405657
"20",0.1563258
"21",0.1276444
"22",0.1273337
"23",0.1202738
"24",0.1329048
"25",0.1225204
"26",0.1348988
"27",0.1599647
"28",0.1495289
"29",0.1482618
"30",0.1312849
"31",0.1615436
"32",0.1689688
"33",0.138466
"34",0.1540904
"35",0.1428934
"36",0.1649399
"37",0.1728413
"38",0.1472347
"39",0.1671182
"40",0.1927193
"41",0.1691348
"42",0.1705328
"43",0.164536
"44",0.1626676
"45",0.1898868
"46",0.1929632
"47",0.1810696
"48",0.1798236
"49",0.1664576
"50",0.1908694
"51",0.1954415
"52",0.1904931
"53",0.1766488
"54",0.1736059
"55",0.2085528
"56",0.1991376
"57",0.2041577
"58",0.2070694
"59",0.2041015
"60",0.1965647
"61",0.1912697
"62",0.1931913
"63",0.1955534
"64",0.1750933
"65",0.1599894
"66",0.1686543
"67",0.1806581
"68",0.1573586
"69",0.1916966
"70",0.1794202
"71",0.1720186
"72",0.1528423
"73",0.1557391
"74",0.1663422
"75",0.1566326
"76",0.1658602
"77",0.1378805
"78",0.1419906
"79",0.1481301
"80",0.1392408
"81",0.1343606
"82",0.1770898
"83",0.1763392
"84",0.1637619
"85",0.1640915
"86",0.1694909
"87",0.1698969
"88",0.1654812
"89",0.1564809
"90",0.1842938
"91",0.2285831
"92",0.2202507
"93",0.2145105
"94",0.2156117
"95",0.2064363
"96",0.1909661
"97",0.1832536
"98",0.166118
"99",0.1543948
"100",0.1819145
"101",0.1890888
"102",0.1670686
"103",0.1482981
"104",0.157886
"105",0.1517734
"106",0.1684939
"107",0.1474653
"108",0.1511316
"109",0.1478136
"110",0.1526141
"111",0.1458517
"112",0.1288907
"113",0.1265768
"114",0.1309754
"115",0.1277746
"116",0.1275083
"117",0.1481386
"118",0.1566704
"119",0.144983
"120",0.152646
"121",0.1489613
"122",0.1534469
"123",0.1671713
"124",0.1563124
"125",0.1866575
"126",0.1569934
"127",0.1603389
"128",0.1677547
"129",0.150936
"130",0.1681007
"131",0.1643772
"132",0.1476246
"133",0.1385679
"134",0.1407501
"135",0.1636742
"136",0.1519324
"137",0.1510791
"138",0.1408565
"139",0.1251423
"140",0.1276568
"141",0.1345416
"142",0.1549677
"143",0.148164
"144",0.138186
"145",0.1598446
"146",0.1682374
"147",0.1611935
"148",0.1495392
"149",0.1470264
"150",0.1441439
"151",0.1630856
"152",0.1333376
"153",0.1414638
"154",0.1465428
"155",0.1534122
"156",0.1454728
"157",0.1583565
"158",0.1544439
"159",0.1835096
"160",0.1679589
"161",0.1672039
"162",0.1568986
"163",0.1739153
"164",0.1531495
"165",0.1573218
"166",0.1348233
"167",0.148722
"168",0.1764246
"169",0.1460127
"170",0.15654
"171",0.1240974
"172",0.1375863
"173",0.1373871
"174",0.1539129
"175",0.1577743
"176",0.1545318
"177",0.140364
"178",0.1247944
"179",0.1571516
"180",0.1292323
"181",0.14569
"182",0.1629782
"183",0.1797534
"184",0.169681
"185",0.1686002
"186",0.131951
"187",0.1200558
"188",0.1582622
"189",0.1710956
"190",0.1700092
"191",0.1528396
"192",0.1632804
"193",0.183351
"194",0.1923985
"195",0.2005648
"196",0.2133692
"197",0.1791643
"198",0.1796846
"199",0.1389332
"200",0.1413402
"201",0.188337
"202",0.1763754
"203",0.19219
"204",0.1677531
"205",0.1725846
"206",0.1799522
"207",0.1772964
"208",0.1942888
"209",0.2129577
"210",0.2026449
"211",0.2092611
"212",0.2031614
"213",0.1967178
"214",0.1839085
"215",0.1813502
"216",0.1703658
"217",0.1603236
"218",0.2025844
"219",0.2223684
"220",0.2289734
"221",0.219039
"222",0.1934627
"223",0.1981213
"224",0.2203169
"225",0.2073557
"226",0.1906895
"227",0.1837073
"228",0.2167775
"229",0.2277684
"230",0.1893095
"231",0.1930482
"232",0.218956
"233",0.2279078
"234",0.2107259
"235",0.1993178
"236",0.1763049
"237",0.2132428
"238",0.1856683
"239",0.2034824
"240",0.1858514
"241",0.1755985
"242",0.2044918
"243",0.1834752
"244",0.1648088
"245",0.150282
"246",0.1430321
"247",0.165126
"248",0.1686159
"249",0.1851446
"250",0.1731001
"251",0.1662909
"252",0.1993397
"253",0.172868
"254",0.19535
"255",0.1818869
"256",0.1797678
"257",0.1755972
"258",0.1608388
"259",0.1535125
"260",0.1552024
"261",0.162051
"262",0.1648442
"263",0.1530737
"264",0.1491969
"265",0.1542832
"266",0.1509509
"267",0.162224
"268",0.1989668
"269",0.182071
"270",0.173754
"271",0.1525315
"272",0.157334
"273",0.1524479
"274",0.1569552
"275",0.1440836
"276",0.1485841
"277",0.1537251
"278",0.1764995
"279",0.1636035
"280",0.1480464
"281",0.135719
"282",0.1574865
"283",0.1589866
"284",0.1592353
"285",0.1701394
"286",0.1447223
"287",0.1545019
"288",0.1497456
"289",0.1677794
"290",0.1394891
"291",0.1111203
"292",0.108902
"293",0.1137883
"294",0.1124166
"295",0.1230816
"296",0.117065
"297",0.1164386
"298",0.1070341
"299",0.1167048
"300",0.1225123
"301",0.1140136
"302",0.1438203
"303",0.1483373
"304",0.1588722
"305",0.1588021
"306",0.1281484
"307",0.1269967
"308",0.1342626
"309",0.1300285
"310",0.1056003
"311",0.1238764
"312",0.1438929
"313",0.1243386
"314",0.1768658
"315",0.172415
"316",0.1833246
"317",0.1655908
"318",0.1423467
"319",0.1192601
"320",0.1331983
"321",0.1338894
"322",0.1405213
"323",0.1380701
"324",0.1292911
"325",0.1307655
"326",0.1217244
"327",0.1256369
"328",0.1425114
"329",0.1509675
"330",0.1438569
"331",0.1480864
"332",0.1375199
"333",0.1323331
"334",0.1429366
"335",0.1517332
"336",0.1694613
"337",0.1547324
"338",0.1347171
"339",0.1469723
"340",0.1540646
"341",0.1669854
"342",0.1491575
"343",0.1260093
"344",0.1402103
"345",0.1500218
"346",0.1527356
"347",0.1505839
"348",0.1621508
"349",0.146335
"350",0.1603783
"351",0.1586582
"352",0.1520585
"353",0.1528259
"354",0.1474795
"355",0.1346452
"356",0.1407944
"357",0.1371753
"358",0.1384999
"359",0.1373
"360",0.1399782
"361",0.142585
"362",0.1407009
"363",0.1413708
"364",0.1432747
"365",0.1333368
"366",0.1305465
"367",0.1337814
"368",0.1329807
"369",0.1445163
"370",0.1453334
"371",0.1582771
"372",0.1409908
"373",0.1318123
"374",0.1433309
"375",0.1481362
"376",0.1472597
"377",0.1397453
"378",0.1411747
"379",0.1328406
"380",0.1344103
"381",0.135286
"382",0.1459811
"383",0.126987
"384",0.1547569
"385",0.147856
"386",0.1265529
"387",0.1229879
"388",0.1309672
"389",0.1430609
"390",0.1449668
"391",0.1445633
"392",0.1527465
"393",0.1483617
"394",0.1574345
"395",0.1528858
"396",0.1382594
"397",0.1281971
"398",0.1427419
"399",0.1448798
"400",0.1426425
"401",0.1614807
"402",0.1692857
"403",0.1807888
"404",0.1707834
"405",0.1809943
"406",0.1597709
"407",0.1815197
"408",0.162563
"409",0.1664395
"410",0.1664816
"411",0.1630628
"412",0.1442236
"413",0.123458
"414",0.1575058
"415",0.150545
"416",0.1612131
"417",0.1685162
"418",0.1667009
"419",0.1846909
"420",0.1627702
"421",0.1840243
"422",0.1722583
"423",0.1744044
"424",0.143933
"425",0.1508485
"426",0.1498711
"427",0.1710526
"428",0.1592051
"429",0.1741548
"430",0.1524897
"431",0.153572
"432",0.1520008
"433",0.1637689
"434",0.1925265
"435",0.1811567
"436",0.1677316
"437",0.1746038
"438",0.1783299
"439",0.1578803
"440",0.1566533
"441",0.1549649
"442",0.170066
"443",0.1560618
"444",0.1560742
"445",0.1356234
"446",0.1530534
"447",0.129572
"448",0.1570748
"449",0.1614875
"450",0.1655577
"451",0.1509764
"452",0.1648437
"453",0.1577018
"454",0.1572995
"455",0.1691602
"456",0.1699456
"457",0.1631022
"458",0.1840676
"459",0.1766908
"460",0.1709511
"461",0.1660287
"462",0.1696151
"463",0.1934175
"464",0.181944
"465",0.1714349
"466",0.2009309
"467",0.2106014
"468",0.2088846
"469",0.1880807
"470",0.1532119
"471",0.1511728
"472",0.131532
"473",0.1297245
"474",0.1268044
"475",0.1399978
"476",0.1224041
"477",0.1265166
"478",0.1338057
"479",0.1261362
"480",0.128669
"481",0.1147219
"482",0.1224686
"483",0.1165484
"484",0.1154364
"485",0.1228467
"486",0.119641
"487",0.1233891
"488",0.1195485
"489",0.1140772
"490",0.135444
"491",0.1303132
"492",0.1259068
"493",0.125466
