rmsd (nm),Systems
0.0004938,Wild
0.0687694,Wild
0.0722203,Wild
0.0681343,Wild
0.0811878,Wild
0.0936284,Wild
0.0789654,Wild
0.0825241,Wild
0.0893789,Wild
0.0919769,Wild
0.1061174,Wild
0.0847053,Wild
0.0894133,Wild
0.0943004,Wild
0.0934615,Wild
0.0963915,Wild
0.0867435,Wild
0.0908125,Wild
0.092989,Wild
0.1276848,Wild
0.1039061,Wild
0.0926038,Wild
0.1143516,Wild
0.1154206,Wild
0.1024223,Wild
0.1099075,Wild
0.1024302,Wild
0.0902255,Wild
0.1011848,Wild
0.0960982,Wild
0.1084805,Wild
0.1041987,Wild
0.0925698,Wild
0.1046524,Wild
0.1155145,Wild
0.1188607,Wild
0.1386096,Wild
0.1137188,Wild
0.1211386,Wild
0.1313618,Wild
0.1637968,Wild
0.1443693,Wild
0.1606984,Wild
0.1521722,Wild
0.1294298,Wild
0.1380679,Wild
0.1422707,Wild
0.1427982,Wild
0.1607468,Wild
0.1568779,Wild
0.1732459,Wild
0.159909,Wild
0.1591506,Wild
0.1692436,Wild
0.1740008,Wild
0.1907503,Wild
0.1848302,Wild
0.153958,Wild
0.1975081,Wild
0.1802327,Wild
0.1690356,Wild
0.1610199,Wild
0.1486372,Wild
0.1542869,Wild
0.2019223,Wild
0.1846973,Wild
0.1752989,Wild
0.1704862,Wild
0.160935,Wild
0.166194,Wild
0.1584335,Wild
0.1697129,Wild
0.1560153,Wild
0.1670203,Wild
0.1727558,Wild
0.1671982,Wild
0.1673645,Wild
0.1637711,Wild
0.1637108,Wild
0.1563793,Wild
0.154477,Wild
0.1310272,Wild
0.1598056,Wild
0.1853778,Wild
0.2176093,Wild
0.2052954,Wild
0.1889335,Wild
0.1898456,Wild
0.1935697,Wild
0.2027893,Wild
0.2089104,Wild
0.1702062,Wild
0.1544221,Wild
0.1447881,Wild
0.1684394,Wild
0.1893473,Wild
0.1630439,Wild
0.1662484,Wild
0.1564769,Wild
0.153558,Wild
0.1544072,Wild
0.1717783,Wild
0.1625586,Wild
0.1808026,Wild
0.1858502,Wild
0.1986262,Wild
0.1562963,Wild
0.1647085,Wild
0.1438677,Wild
0.1449714,Wild
0.1614976,Wild
0.1680889,Wild
0.1395071,Wild
0.1162963,Wild
0.116805,Wild
0.1121563,Wild
0.1138109,Wild
0.1209746,Wild
0.1266934,Wild
0.1605386,Wild
0.1552184,Wild
0.1556166,Wild
0.1965033,Wild
0.2300316,Wild
0.2188843,Wild
0.2090221,Wild
0.1853133,Wild
0.172821,Wild
0.1691011,Wild
0.2036623,Wild
0.1810343,Wild
0.145698,Wild
